sentences;prediction;Y
иногда бывают сбои, а так в целом удобно.;0;эмоции
старый интерфейс был удобнее;0;эмоции
нету уведомлений о поступлений денег на расчётный счёт. портит всю систему.;1;предложение
сайт не доработан много лишнего , стал запутанный, не удобный .вообще не довольна;0;эмоции
замена интерфейсов, как правило неудачная и хуже предыдущей.;0;эмоции
потому что возникают проблемы при исполнении шаблона;0;эмоции
в связи с изменением дизайна сайта еще не успели разобраться полностью.;0;эмоции
сервис очень даже не дёшев. в др банках дешевле);0;эмоции
#имя?;0;предложение
не сказать, чтобы доволен, но много неудобств и интерфейс слишком замудрен;0;эмоции
к новому интрефейсу надо привыкнуть. хотелось бы еще добывить функцию автоматической рассылки на электронную почту файлов выгрузки выписки (как это реализовано, например, в интернет-клиенте банка тинькофф);1;предложение
новая версия не совсем удобная, старая легче,удобнее. но, это может быть просто, привычка. в старой программе удобнее работать, как с платежными документами, так и с выписками.;0;эмоции
нормально;0;эмоции
есть недоработки.;0;эмоции
работаю с несколькими интернет банками и сбербанковский именно банк для юридических лиц самый неудобный в использовании;0;эмоции
сама система удобная, неудобство в том, что вы постоянно ее меняете . привыкаешь к одной , а вы уже другую внедряете. за 2 года -3 раза, может хватит?;0;эмоции
запутанный интерфейс, предыдущая версия была доступнее;0;эмоции
предыдущая форма проще и легче,с этой формой много раз обращалась за консультацией. мне непонятно почему я должна менять адрес электронной почты при уточнении данных профиля.;1;предложение
все платежи отправляемые в пятницу ,субботу и воскресенье задерживаются до понедельника а то и до вторника. иногда приходится перебрасывать средства в эти дни и лишний раз убеждаешься в напрасно потраченном времени.партнеры недовольны-бизнес простаивает.;1;предложение
привыкк старому интерфейсу;0;эмоции
очень запутано раньше было понятней;0;эмоции
в новом дизайне не видно фактического остатка средств в данный момент времени, в старом дизайне все видно было. приходы денег сегодняшнего дня на счет показываются на следующий день, а нужно сразу как только деньги поступили на счет.;1;предложение
часто вводят новшество ,;0;эмоции
так все устраивает, бывает не много медленно работает.;0;эмоции
старая система была проще;0;эмоции
новое по стало очень ненаглядным и не удобным в использовании. не наглядно схема, чтобы загрузить п/п из файла 1с. выгрузка выписок в 1с так же неудобна в связи с ненаглядной системой настройки периода для выгрузки. возможно специалисты, которые создавали систему или пользователи, которые каждый день делают данные операции, быстро орентируются где выбрать нужный список или кнопку. но простому пользователю приходиться с трудом понять как осуществить нужные операции.;1;предложение
 страдает логичность структуры доступа к функциям;0;эмоции
найти документы и операции совершенно не возможно, абсолютно не удобный интерфейс. пожалуйста перестаньте менять оформление.;0;эмоции
не могу загрузить с почты телефона платёжку в мобильный банк.;1;предложение
а почему ваш греф убрал отдел работы с предпринимателями в г. острогожске, воронежской обл?;0;эмоции
не работает поиск по названию контрагента если контрагент не занесен в список контрагентов, п старом интерфейсе поиск по назвниям работал, хотя если контрагента искать по инн то система его находит даже если его нет в списке контрагентов. выгрузка выписки ограничена 100 днями - это бред! чтобы выгрузить выписку за год мне нужно сделать 4 выгрузки разве это можно назвать удобством? интерфейс рассчитан на монитор 17 дюймов, такие теперь даже не продают, из за этого отображение информации неудобное, в целом система стала медленее, пострянно появляется окно 'загрузка';1;предложение
добрый день. новый дизайн это катастрофа!!!! шаблоны составленные в предыдущей версии не работают специалисты онлайн помочь не могут. предыдущим дизайном пользовался с 2012г - нареканий не было. самостоятельно не могу отправлять платёжные поручения... вот такой помошник бизнесу. если такбудет и далее нужнобудет прощаться .;0;эмоции
высокая комиссия, очень,очень долгие ответы на письма. новая версия программы совершенно не удобная.;0;эмоции
иногда сервер недоступен;0;эмоции
затруднения при отправке платёжного поручения . документы большого объёма не отправляются.;1;предложение
не всем довольны, например обслуживание счетовцена поднялась в несколько раз , за счет клиентов вопросы решилинапример по сбербанку в украине;0;эмоции
большие комиссии обсолютно за всё;0;эмоции
старый вариант сбербанк бизнес онлайн для меня былнамного удобнее. всё было понятно. в новом варианте многое для меня сложно и неудобно.если в предыдущем вопросе нужно было оценить новую версию сбербанк бизнес онлайн то моя оценка 2 , а не 7 как я поставила.;0;эмоции
новый интерфейс очень не удобный. работать невозможно. большое количество времени уходит на поиск и получение нужных документов. не работа а сплошная нервотрепка. как можно было не подумать о клиентах и не предложить выбор между новым и старым интерфейсом?предлагаю вернуть старый интерфейс;0;эмоции
новая версия сбербанк бизнес-онлайн очень неудобная, платежное поручение банк может принять с ошибками.;1;предложение
еще не разобрались с новым интерфейсом.;0;эмоции
не удобный интерфейс, старая версия была гораздо более понятна;0;эмоции
не совсем понятен ивойсинг;0;эмоции
не удобный интерфейс, плохо обновляются данные. и вообще верните как было.;0;эмоции
новый интерфейс стал менее удобен и менее функционален.;0;эмоции
не доволен изменениями в web клиенте. вместо одного-двух кликов доступ увеличился на 5-6 кликов мышью. бесполезные движения и время.;1;предложение
"мне не нравится интерфейс. оцениваю его как недружественный. в отделе писем: маленький размер присоединяемых файлов-пришлось отправлять 7 писем на одну платежку; на спецсчетахна капремонт невозможно сделать выписки с 2015 года по 2017, а они нужны для отчета в мосжилинспекцию нарастающим итогом. общий список платежей без номеров платежных поручений. дата есть, слова есть, а номера нет.и еще многое другое при создании новой платежки.";1;предложение
очень сложная процедура отзыва документа. медленно отвечают на очные обращения клиента. медленно проходят платежи при наличии денежных средств на счете. поздно зачисляют инкассацию после выходных - за пределами операционного дня, из-за чего платежи текущего операционного дня не проводятся а отказываются системой абс.;1;предложение
резко изменили всю систему без оповещения, совершенно непонятно как работает. все время тыркаешься как котенок. очень не удобно с выписками работать - их нужно выгружать, а иногда нужно что-то просто посмотреть.;0;эмоции
не нравится новый интерфейс;0;эмоции
часто возникают ошибки. сложно было разобраться с новой версией. в нынешней версии много промежуточных манипуляций, чтобы, например, элементарно распечатать выписку из счёта.;1;предложение
слишком много условностей, всё сложно, постоянно нужно искать где нужная кнопка. сделайте всё проще или вернитесь к старому варианту, он хотя бы привычнее.;0;эмоции
мне удобно работать на удаленке;0;эмоции
для меняэто изменение произошло внезапно ( я захожу в систему не каждый день),без предупреждения. я случайно ( нет никаких инструкций) нашла выход на страницу со старой версией, там и работаю. пока разбираться методом тыка в новых изменениях времени нет. я не бухгалтер , не продвинутый пользователь, поэтомутакие внезапные изменения вызвали ступор.;0;эмоции
в общем и целом все нравится. иногда путаюсь в навигации;0;эмоции
1. поиск по платежкам по наименованию контрагента производится только если контрагент есть в справочнике, из старых платежек не подтягивается, если контрагента нет в справочнике, не ищет! 2. поиск по начальным цифрам инн не производится, нужно вбить целиком!неужели трудно сделать поиск по вхождению подстроки - п.1 и п.2 ??? 3. если задать поиск по инн и уйти на вторую страницу результатов поиска, а потом задать поиск по другому инн, то можно увидеть пустую страницу, хотя платежи на него были - просто нужно догадаться внизу кликнуть первую страницу результатов поиска, а нельзя сделать автоматически при новом поиске вывод результатов с первой страницы? 4. текущие остатки по счету не всегда корректны 5. формирование выписок и выгрузок в 1с первое время было очень интутивно непонятно, до сих пор путаемся, в старой версии было понятнее. 6. и естественно!!! sms-потдверждения! работают безобразно! был привязан билайновский номер, с июля начались серьезные проблемы, подтверждения с кодом приходят с опозданием в пол ч;1;предложение
1. удобнее когда выписки отражались списком. 2. удобнее было когда платежки отображались списком. тем списком! 3. удобнее были фильтры по выпискам и платежкам. 4. в целом предыдущий интерфейс (когда меню слева в отдельной колонке) было проще для пользования. 5. в новой системе есть свои плюсы, но предыдущая была идеальна!;1;предложение
задержки по получению информации, сложностьдоступа кфункциям (запрашиваем помощь);0;эмоции
очень неудобный интерфейс для индивидуальных предпринимателей!!! приходится очень долго разбираться что где находится и как это работает, в предыдущем формате было проще.;0;эмоции
гавно какое-то, смс можно ждать вечность;0;эмоции
совершенно не доволен новым интерфейсом, абсолютно не удобный. некоторые функции вообще перестали корректно работать. к примеру, раньше, платежи и переводы - заполнить документ по шаблону - выставил сумму - оплатил. сейчас это не работает. создать документ получится но изменить сумму нет и приходится копировать платеж сделанный ранее, редактировать и отправлять. зачем тогда шаблон? в целом новый интерфейс кроме раздражения пока ничего не вызывает.;1;предложение
новая версия сильно заморочена;0;эмоции
старая систеьа была очень простой и удобной.новаясистема для меня не удобна в эксплуатации;0;эмоции
новый интерфейс, может, и доступнее, но неудобный. часто ищу необходимую функцию дольше, чем хотелось бы.;0;эмоции
маленький срок операци по карте;0;эмоции
очень сложно работать с системой интуитивно, старая версия сайта была проще в работе;0;эмоции
стала хуже;0;эмоции
не интуитивно понятно сделано меню, нужно привыкать и разбираться нет проверки контрагентов;1;предложение
иногда платежи отражаются с задержкой. хотелось бы видеть автоматически формирующийся список контрагентов;1;предложение
долго обновляется состояние счёта из-за этого часто остаются неоплаченные платёжки!чтобы отредактировать платёжку нужно несколько раз совершать движения курсором,чтобы удалить прежнюю сумму(в старой версии было удобнее);1;предложение
очень часто идут технологические работы, нет возможности видеть онлайн остаток денежных средств. нет возможности отказа платежных документов, только через письмо в банк, которое обрабатывается уже после отправки платежного поручения;1;предложение
после смены вида стало жутко неудобно работать. старый вид был более удобен.;0;эмоции
старая версия была прекрасна. новая - дерьмо.;0;эмоции
не совсем новая система удобна для входа и работы. всё равно приходится переходить на шаблоны в старую систему.;0;эмоции
предыдущий вариант вполне отвечал всем моим потребностям;0;эмоции
непонятный интерфейс, невозможно понять как сохранить выписку с документами, ужасно неудобно работать. верните старый интерфейс;1;предложение
очень неудобно скачивать выписки за каждый день. сбои постоянные. тех.поддержка не может решить вопрос сразу, одна девушка из десяти смогла решить проблему. вопрос кадров, точнее профессионализм.;1;предложение
мне не нравиться то, что когда я нахожусь в выписках я не могу создать оттуда копию поручения. в старом можно было. не нравится,что пароль на вход надо меня часто. 1 раз в полгода меня бы устроило.;1;предложение
новая система стала красивее, но работает медленнее. неудобные новшевства - выписку можно сделать только за ограниченный период времени (раньше этого ограничения не было - и это было очень удобно. совершенно непонятно, зачем ухудшать качество системы), прежняя форма оплаты в виде платежки была нагляднее.;1;предложение
трудно менять и восстанавливать пароли в системе. письмо об окончании действия ключа пришло в ночь, перед датой окончании. а связи с этим налог в срок не удалось заплатить.;1;предложение
иногда проводятся тех работы днем, когда нужно делать платёж. и какие то функции становятся недоступны;1;предложение
